City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
577,Mudon,MM,76.55,moderate rain,16.2578,97.7164,Motel Mudon
579,Grants Pass,US,81.28,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
584,Buala,SB,79.39,light rain,-8.145,159.5921,Maringe Lagoon Lodge
586,Galle,LK,81.75,overcast clouds,6.0367,80.217,Amangalla
589,Nishihara,JP,87.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
591,Pingliang,CN,93.04,scattered clouds,35.5392,106.6861,North Gate Hostel
593,Drayton Valley,CA,77.18,overcast clouds,53.2168,-114.9854,Service Plus Inns & Suites (Drayton Valley Hotel)
595,Nicoya,CR,78.35,overcast clouds,10.1483,-85.452,Guayacan Real
596,Monrovia,LR,76.28,light rain,6.3005,-10.7969,Sunset Inn
602,Primorsko,BG,77.47,clear sky,42.2667,27.7667,Villas Ropotamo
603,Ryotsu,JP,86.05,scattered clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
608,Malindi,KE,76.17,scattered clouds,-3.2175,40.1191,African House Resort
610,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,ibis Balikpapan
614,Fairbanks,US,75.16,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
615,Awjilah,LY,83.41,clear sky,29.1081,21.2869,
621,Truth Or Consequences,US,77.23,few clouds,33.1284,-107.2528,Charles Motel
622,Maningrida,AU,86.25,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
624,Aginskoye,RU,77.74,light rain,51.1,114.53,Кочевник
627,Kishanganj,IN,78.55,light rain,26.1167,87.9333,HOTEL SILVERSTAR
632,Labuhan,ID,88.02,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
638,Lutz,US,85.89,clear sky,28.1511,-82.4615,Paradise Lakes Resort
639,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
642,Khartoum,SD,83.01,broken clouds,15.5518,32.5324,Hotel China
645,La Asuncion,VE,77.45,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
646,Vicksburg,US,79.3,mist,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
648,Belyy Yar,RU,75.09,clear sky,53.6039,91.3903,Pasportnyy Stol
649,Narasannapeta,IN,87.6,overcast clouds,18.4167,84.05,G.lingaraju home
650,Port Arthur,CN,82.62,clear sky,38.8,121.2667,Friendship Hotel
654,Malpura,IN,82.42,moderate rain,26.2833,75.3833,Tak House cum Legal Advisory Chambers
657,Sao Filipe,CV,75.38,few clouds,14.8961,-24.4956,Hotel Xaguate
658,Haicheng,CN,81.32,broken clouds,40.8516,122.7475,Haicheng Grand Hotel
659,Dzhankoy,UA,80.65,clear sky,45.7167,34.4,"ОТЕЛЬ ""Карпаты"""
662,Muroto,JP,82.76,overcast clouds,33.2833,134.15,Oota Ryokan
663,Mersin,TR,79.95,clear sky,36.862,34.6509,Nostalgia Boutique Hotel
665,Marzuq,YE,81.27,scattered clouds,14.4,46.4667,
670,Las Choapas,MX,77.97,overcast clouds,17.9333,-94.0833,Hotel Jysmak
671,Gorontalo,ID,86.76,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
673,Durant,US,77.52,overcast clouds,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
675,Araouane,ML,90.41,clear sky,18.9048,-3.5265,
677,Karaton,ID,89.96,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
678,Naigarhi,IN,78.84,overcast clouds,24.7833,81.7833,Fulwari Mandir
687,Sorong,ID,88.14,broken clouds,-0.8833,131.25,waigo splash hotel
690,Vetrisoaia,RO,79.05,scattered clouds,46.43,28.2083,
691,Along,IN,93.15,few clouds,28.1667,94.7667,Hotel West
693,Nagahama,JP,92.98,overcast clouds,35.3833,136.2667,Hotel & Resorts NAGAHAMA
