,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Sturgis,US,41.7992,-85.4192,61.05,57,1,0.0,clear sky
151,Karkal,IN,13.2,74.9833,82.22,75,43,7.27,scattered clouds
152,Laguna,US,38.421,-121.4238,82.24,60,1,5.99,clear sky
153,Pervomayskiy,RU,53.2485,40.2871,78.13,40,16,9.62,few clouds
154,Saint-Joseph,RE,-21.3667,55.6167,71.2,68,23,7.63,few clouds
155,Grand Forks,US,47.9417,-97.4337,62.53,78,20,4.61,smoke
156,Tokmak,UA,47.2514,35.7058,79.99,51,0,3.38,clear sky
157,Tuatapere,NZ,-46.1333,167.6833,43.83,94,100,6.06,overcast clouds
158,Clyde River,CA,70.4692,-68.5914,36.81,93,100,5.86,overcast clouds
159,Hasaki,JP,35.7333,140.8333,90.28,81,56,11.72,broken clouds
160,Tiksi,RU,71.6872,128.8694,55.47,56,10,6.22,clear sky
161,Antalaha,MG,-14.9003,50.2788,70.84,79,15,6.42,few clouds
162,Belaya Gora,RU,68.5333,146.4167,58.03,31,12,7.78,few clouds
163,Ust-Uda,RU,54.1742,103.0304,64.0,71,100,11.1,overcast clouds
164,Makakilo City,US,21.3469,-158.0858,80.92,57,1,9.22,clear sky
165,Flinders,AU,-34.5833,150.8552,66.18,61,6,4.0,clear sky
166,Pontalina,BR,-17.525,-49.4472,64.11,58,1,4.12,clear sky
167,Saint-Philippe,RE,-21.3585,55.7679,72.21,71,40,8.3,scattered clouds
168,Cobija,BO,-11.0267,-68.7692,66.74,53,0,3.8,clear sky
169,Boyuibe,BO,-20.4167,-63.2833,51.67,43,39,4.18,scattered clouds
170,Bilma,NE,18.6853,12.9164,87.39,15,14,1.57,few clouds
171,Mitu,CO,1.1983,-70.1733,69.78,82,73,2.51,broken clouds
172,High Level,CA,58.5169,-117.136,71.76,51,97,0.74,overcast clouds
173,Neryungri,RU,56.6709,124.6491,55.9,89,100,8.01,overcast clouds
174,Hofn,IS,64.2539,-15.2082,53.37,92,100,5.53,overcast clouds
175,San Patricio,US,28.017,-97.5169,84.85,77,2,13.13,clear sky
176,Weligama,LK,5.9667,80.4167,83.8,70,85,12.06,overcast clouds
177,Cabo San Lucas,MX,22.8909,-109.9124,86.61,78,32,7.0,scattered clouds
178,Shingu,JP,33.7333,135.9833,88.92,71,99,8.34,overcast clouds
179,Kirkland Lake,CA,48.1446,-80.0377,47.77,87,46,3.38,scattered clouds
180,Tarsus,TR,36.9188,34.8784,84.58,52,0,2.68,clear sky
181,Lusambo,CD,-4.9667,23.45,64.53,50,32,0.78,scattered clouds
182,Oranjemund,NA,-28.55,16.4333,55.94,65,0,5.68,clear sky
183,Victoria,HK,22.2855,114.1577,89.65,81,100,5.01,light rain
184,Clarence Town,AU,-32.5833,151.7833,67.8,51,61,7.74,broken clouds
185,Dalby,AU,-27.1833,151.2667,77.94,40,41,8.93,scattered clouds
186,Paso De Los Toros,UY,-32.8167,-56.5167,43.03,91,0,4.76,clear sky
187,Palu,ID,-0.8917,119.8707,87.12,71,41,3.94,light rain
188,Khasan,RU,42.4308,130.6434,75.76,91,96,18.1,heavy intensity rain
189,Pacific Grove,US,36.6177,-121.9166,63.16,84,33,1.99,scattered clouds
190,Linxia,CN,35.6003,103.2064,85.68,32,29,6.35,scattered clouds
191,Banda Aceh,ID,5.5577,95.3222,84.61,64,96,14.47,overcast clouds
192,Nava,MX,28.4167,-100.7667,81.0,57,69,9.04,broken clouds
193,Juneau,US,58.3019,-134.4197,67.1,85,75,8.05,broken clouds
194,Cosolapa,MX,18.5833,-96.65,72.79,97,85,3.56,overcast clouds
195,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,90,52,9.06,broken clouds
196,Pitsunda,GE,43.1592,40.3378,77.18,72,25,3.24,scattered clouds
197,Gazli,UZ,40.1333,63.45,94.12,9,1,18.54,clear sky
198,Roseburg,US,43.2165,-123.3417,82.89,36,1,5.75,clear sky
199,Sur,OM,22.5667,59.5289,94.06,49,93,6.33,overcast clouds
200,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,86,98,11.56,overcast clouds
201,Provideniya,RU,64.3833,-173.3,44.71,81,90,20.13,light rain
202,Liverpool,GB,53.4106,-2.9779,57.81,81,20,1.99,few clouds
203,Port Lincoln,AU,-34.7333,135.8667,53.78,72,100,18.99,overcast clouds
204,Serenje,ZM,-13.2325,30.2352,51.84,82,2,4.47,clear sky
205,Vila,PT,42.0304,-8.1588,54.73,95,82,2.86,broken clouds
206,Puerto Carreno,CO,6.189,-67.4859,73.71,90,74,6.4,broken clouds
207,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.24,52,59,1.32,broken clouds
208,Chernyshevskiy,RU,63.0128,112.4714,82.4,30,100,13.02,overcast clouds
209,Manacapuru,BR,-3.2997,-60.6206,75.78,69,13,4.63,few clouds
210,Bonthe,SL,7.5264,-12.505,76.21,85,87,9.22,moderate rain
211,Songjianghe,CN,42.1859,127.479,68.81,97,100,3.69,light rain
212,Felanitx,ES,39.4696,3.1483,66.96,77,60,4.47,broken clouds
213,Longyearbyen,SJ,78.2186,15.6401,46.24,71,75,10.36,broken clouds
214,Sheltozero,RU,61.3667,35.3667,59.83,89,80,10.29,broken clouds
215,Ponta Delgada,PT,37.7333,-25.6667,70.52,94,75,9.22,broken clouds
216,Dubbo,AU,-32.25,148.6167,66.33,32,0,14.97,clear sky
217,Arlit,NE,18.7369,7.3853,91.15,35,8,11.81,clear sky
218,Singaparna,ID,-7.3515,108.111,79.99,71,74,6.26,broken clouds
219,Houma,US,29.5958,-90.7195,82.98,90,1,0.0,clear sky
220,Mirnyy,RU,62.5353,113.9611,81.37,33,100,14.23,overcast clouds
221,Berlevag,NO,70.8578,29.0864,46.35,93,90,5.75,light intensity drizzle rain
222,Voi,KE,-3.3945,38.563,68.77,66,36,8.72,scattered clouds
223,Carmo Do Rio Claro,BR,-20.9719,-46.1189,51.73,78,7,1.99,clear sky
224,Conde,BR,-7.2597,-34.9075,71.06,88,0,10.36,clear sky
225,Mandan,US,46.8267,-100.8896,70.95,56,40,3.0,scattered clouds
226,Cidreira,BR,-30.1811,-50.2056,52.32,93,3,6.87,clear sky
227,Tilichiki,RU,60.4667,166.1,52.92,74,98,6.91,light rain
228,Tocopilla,CL,-22.092,-70.1979,61.25,66,71,1.68,broken clouds
229,Palmares Do Sul,BR,-30.2578,-50.5097,52.03,93,1,5.79,clear sky
230,Avarua,CK,-21.2078,-159.775,77.05,88,90,12.66,light rain
231,Atripalda,IT,40.9158,14.8246,74.28,74,2,2.1,clear sky
232,Beyneu,KZ,45.3167,55.2,96.57,12,0,13.11,clear sky
233,Asau,RO,46.4333,26.4,74.75,64,19,4.52,light rain
234,Maltahohe,NA,-24.8333,16.9833,44.24,44,0,3.98,clear sky
