City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Tiksi,RU,2021-27-27 09:29:59,71.6872,128.8694,37.96,89,94,8.93
147,Farsund,NO,2021-27-27 09:30:35,58.0948,6.8047,68.95,90,100,17.56
148,Waipawa,NZ,2021-27-27 09:30:00,-41.4122,175.5153,47.03,87,95,9.33
149,Whitehorse,CA,2021-27-27 09:30:35,60.7161,-135.0538,49.01,100,90,5.01
150,Khasan,RU,2021-27-27 09:30:36,42.4308,130.6434,77.47,83,40,6.67
151,Salair,RU,2021-27-27 09:30:36,54.2312,85.7972,65.64,57,46,6.58
152,Luanda,AO,2021-27-27 09:26:23,-8.8368,13.2343,73.09,75,86,1.1
153,Shirgaon,IN,2021-27-27 09:30:36,19.7,72.7,84.22,81,100,23.33
154,Tchibanga,GA,2021-27-27 09:30:37,-2.85,11.0333,87.17,44,70,1.61
155,Shakiso,ET,2021-27-27 09:30:37,5.75,38.9167,68.14,56,100,7.38
156,Monte Carmelo,BR,2021-27-27 09:30:38,-18.7247,-47.4986,55.74,55,1,3.0
157,Eganville,CA,2021-27-27 09:30:38,45.5334,-77.0994,62.35,88,68,2.24
158,Dikson,RU,2021-27-27 09:29:48,73.5069,80.5464,40.06,97,100,19.17
159,Tolga,DZ,2021-27-27 09:30:39,34.7222,5.3785,97.61,20,89,15.03
160,Belmonte,BR,2021-27-27 09:30:39,-15.8631,-38.8828,68.5,87,15,1.32
161,Puerto Ayora,EC,2021-27-27 09:29:51,-0.7393,-90.3518,70.65,76,92,10.33
162,Totness,SR,2021-27-27 09:30:40,5.8833,-56.3167,76.21,89,91,5.91
163,Soyo,AO,2021-27-27 09:30:40,-6.1349,12.3689,77.05,67,33,5.06
164,Lagoa,PT,2021-27-27 09:30:40,39.05,-27.9833,70.47,87,100,10.92
165,Hithadhoo,MV,2021-27-27 09:29:48,-0.6,73.0833,82.15,75,100,9.78
166,Rize,TR,2021-27-27 09:30:41,40.9044,40.8949,57.78,90,85,4.14
167,Karaton,ID,2021-27-27 09:30:41,-6.3424,106.1045,86.16,64,9,2.93
168,Esperance,AU,2021-27-27 09:29:57,-33.8667,121.9,53.44,68,67,28.68
169,Flinders,AU,2021-27-27 09:30:25,-34.5833,150.8552,62.2,66,100,1.01
170,Ola,RU,2021-27-27 09:30:42,59.5833,151.2833,57.74,82,81,5.35
171,De Aar,ZA,2021-27-27 09:30:43,-30.6497,24.0123,58.75,26,0,21.54
172,Beroroha,MG,2021-27-27 09:30:43,-21.6667,45.1667,83.79,23,1,3.06
173,Ballina,AU,2021-27-27 09:30:44,-28.8667,153.5667,60.76,72,0,5.75
174,Tessalit,ML,2021-27-27 09:30:44,20.1986,1.0114,95.2,29,77,0.31
175,Walvis Bay,NA,2021-27-27 09:30:44,-22.9575,14.5053,83.35,16,0,24.16
176,Cabo San Lucas,MX,2021-27-27 09:28:46,22.8909,-109.9124,84.51,70,5,9.37
177,Bethel,US,2021-27-27 09:30:45,41.3712,-73.414,68.58,88,1,0.0
178,Hobyo,SO,2021-27-27 09:30:45,5.3505,48.5268,83.26,61,99,28.19
179,Guaymas,MX,2021-27-27 09:30:01,27.9333,-110.9,83.44,58,6,4.56
180,Kyzyl-Suu,KG,2021-27-27 09:30:46,42.3414,78.0056,81.45,28,42,8.12
181,Kudahuvadhoo,MV,2021-27-27 09:30:46,2.6708,72.8944,82.44,72,100,8.14
182,Makakilo City,US,2021-27-27 09:30:47,21.3469,-158.0858,77.32,70,90,3.44
183,Khatanga,RU,2021-27-27 09:30:47,71.9667,102.5,88.3,37,70,9.17
184,Wuzhou,CN,2021-27-27 09:30:48,23.4833,111.3167,84.36,79,99,1.95
185,Ukiah,US,2021-27-27 09:27:49,39.1502,-123.2078,71.53,56,1,3.44
186,Natchez,US,2021-27-27 09:30:48,31.5604,-91.4032,78.89,94,1,0.0
187,Tabas,IR,2021-27-27 09:30:49,33.5959,56.9244,104.07,13,0,17.31
188,Neryungri,RU,2021-27-27 09:30:49,56.6709,124.6491,71.71,71,10,5.75
189,Novyy Urgal,RU,2021-27-27 09:30:49,51.0736,132.5642,71.73,94,100,2.08
190,Barrow,US,2021-27-27 09:30:50,71.2906,-156.7887,42.82,87,90,5.75
191,Nagda,IN,2021-27-27 09:30:50,23.45,75.4167,75.47,88,100,11.3
192,Ihosy,MG,2021-27-27 09:30:51,-22.4,46.1167,70.09,42,3,11.05
193,Charters Towers,AU,2021-27-27 09:30:51,-20.1,146.2667,61.38,73,16,11.32
194,Kapaa,US,2021-27-27 09:30:51,22.0752,-159.319,80.92,81,75,1.01
195,Sao Joao Da Barra,BR,2021-27-27 09:30:52,-21.6403,-41.0511,64.49,76,0,9.64
196,Hilo,US,2021-27-27 09:30:52,19.7297,-155.09,73.26,94,90,4.61
197,College,US,2021-27-27 09:30:53,64.8569,-147.8028,62.58,68,90,5.75
198,Durant,US,2021-27-27 09:30:53,33.994,-96.3708,81.73,83,1,0.0
199,Vostok,RU,2021-27-27 09:30:53,46.4856,135.8833,77.86,74,100,2.19
200,Kodiak,US,2021-27-27 09:29:46,57.79,-152.4072,53.11,71,1,8.05
201,Bambous Virieux,MU,2021-27-27 09:30:54,-20.3428,57.7575,74.21,73,75,12.66
202,Tromso,NO,2021-27-27 09:30:54,69.6496,18.957,72.25,82,0,10.36
203,Portland,US,2021-27-27 09:29:43,45.5234,-122.6762,68.2,75,20,1.01
204,Awbari,LY,2021-27-27 09:30:55,26.5921,12.7805,96.62,14,0,9.75
205,Riyadh,SA,2021-27-27 09:30:31,24.6877,46.7219,113.05,7,0,12.66
206,Constitucion,CL,2021-27-27 09:30:55,-35.3333,-72.4167,41.56,75,1,8.55
207,Akbarpur,IN,2021-27-27 09:30:56,26.4167,82.55,88.27,68,99,10.02
208,Subate,LV,2021-27-27 09:30:56,56.0062,25.9076,78.89,55,100,12.39
209,Anadyr,RU,2021-27-27 09:30:56,64.75,177.4833,55.9,88,90,11.18
210,Jutai,BR,2021-27-27 09:30:57,-5.1833,-68.9,71.11,94,4,1.81
211,Miraflores,MX,2021-27-27 09:30:57,19.2167,-98.8083,58.03,86,87,2.28
212,Bud,US,2021-27-27 09:30:58,39.447,-86.1758,69.78,96,0,4.0
213,Tynda,RU,2021-27-27 09:30:58,55.1667,124.7167,72.54,71,96,4.03
214,Jiblah,YE,2021-27-27 09:30:58,13.9216,44.1467,72.43,60,100,7.43
215,Pemangkat,ID,2021-27-27 09:30:59,1.1667,108.9667,84.74,75,13,12.77
216,Guerrero Negro,MX,2021-27-27 09:30:59,27.9769,-114.0611,67.21,84,0,7.83
217,Mount Isa,AU,2021-27-27 09:30:59,-20.7333,139.5,69.57,24,5,5.75
218,Aswan,EG,2021-27-27 09:31:00,24.0934,32.907,105.06,12,19,17.81
219,Hualmay,PE,2021-27-27 09:31:00,-11.0964,-77.6139,62.51,89,50,6.46
220,Luziania,BR,2021-27-27 09:31:01,-16.2525,-47.9503,53.29,54,21,3.53
221,Gazanjyk,TM,2021-27-27 09:31:01,39.2446,55.5154,106.02,14,0,10.71
222,Izhma,RU,2021-27-27 09:31:01,65.0083,53.9113,48.72,88,100,11.77
223,Cherskiy,RU,2021-27-27 09:31:02,68.75,161.3,37.85,85,10,19.64
224,Lerum,SE,2021-27-27 09:31:02,57.7745,12.2697,72.93,92,75,1.01
225,Kyritz,DE,2021-27-27 09:31:03,52.9421,12.397,76.95,55,8,9.57
226,Gokak,IN,2021-27-27 09:31:03,16.1667,74.8333,79.54,64,100,22.44
227,Bage,BR,2021-27-27 09:31:03,-31.3314,-54.1069,40.8,91,60,11.88
228,Cockburn Town,TC,2021-27-27 09:31:04,21.4612,-71.1419,82.08,84,88,17.09
229,Nanortalik,GL,2021-27-27 09:31:04,60.1432,-45.2371,45.46,80,100,3.89
230,Kokopo,PG,2021-27-27 09:31:05,-4.352,152.2633,78.89,82,12,8.57
231,Iqaluit,CA,2021-27-27 09:31:05,63.7506,-68.5145,47.93,81,75,10.0
232,Dwarka,IN,2021-27-27 09:31:05,22.2394,68.9678,84.4,79,100,26.53
233,Kraksaan,ID,2021-27-27 09:31:06,-7.7585,113.3962,80.91,64,53,4.03
234,Marica,BR,2021-27-27 09:28:11,-22.9194,-42.8186,67.91,63,0,6.11
235,Goure,NE,2021-27-27 09:31:06,13.9835,10.2704,84.07,56,100,8.5
236,Komsomolskiy,UZ,2021-27-27 09:30:25,40.4272,71.7189,96.22,26,1,9.22
237,Nhulunbuy,AU,2021-27-27 09:31:07,-12.2333,136.7667,79.41,73,48,9.22
238,Lasa,IT,2021-27-27 09:31:07,46.6166,10.7002,68.02,72,60,7.05
239,Asau,RO,2021-27-27 09:31:08,46.4333,26.4,87.96,50,57,2.3
240,Port Elizabeth,ZA,2021-27-27 09:29:53,-33.918,25.5701,77.29,19,0,18.41
241,Airai,TL,2021-27-27 09:30:23,-8.9266,125.4092,60.28,83,71,3.53
